participant,trial_id,block_id,fixation_id,tunnel_type,width,t_onset,duration_s,s_c,cursor_x,cursor_y,lead_onset,lead_corr,gaze_task_x,gaze_task_y,gaze_x_corr,gaze_y_corr,gaze_path_dist,blink_corrupted,off_path,regressive,saccade_followed,n_merged,merged_into,drift_corrected,keep
A,9,0,1.0,corner,0.04,1786729412.4028385,0.30037617683410645,0.0051015076380656,0.0051015076380656,0.1287978710886652,0.0164118037599868,0.0248984923619344,0.017676385695525237,0.1260380146363872,0.029525295445877314,0.13964552375968975,0.009657197989709241,False,False,False,True,1,,False,True
A,9,0,2.0,corner,0.04,1786729412.7632174,0.34037303924560547,0.0592906401772196,0.0592906401772196,0.1267769039735099,0.0542746993297783,0.0647093598227804,0.11126853966183962,0.11914906472572541,0.1231174494121917,0.13275657384902798,0.0028944075257616463,False,False,False,True,1,,False,True
A,9,0,3.0,corner,0.04,1786729413.1385906,0.5505020618438721,0.1396690391244231,0.1396690391244231,0.1290521368748931,0.0058859937417728,0.02166429420891025,0.15262221668568626,0.1236718131015179,0.16447112643603834,0.13727932222482048,0.011161084698822987,False,False,False,True,1,,False,True
A,9,0,4.0,corner,0.04,1786729413.7291017,0.5204930305480957,0.18926540221032284,0.1565186169463483,0.1659320688769895,-0.0047049084020552,0.030067931123010566,0.16609162390364313,0.18229202723626003,0.1779405336539952,0.1958995363595626,0.02460740540089976,False,False,False,True,1,,False,True
A,9,0,5.0,corner,0.04,1786729414.2995956,0.2852499485015869,0.21489263098498723,0.1583396436083891,0.1915592976516539,-0.0036913936086574,0.0644407023483462,0.16662408879314752,0.1992113656386406,0.1784729985434996,0.21281887476194317,0.017202652132633275,False,False,False,True,1,,False,True
A,9,0,6.0,corner,0.04,1786729414.6249716,0.3352508544921875,0.2654689360875557,0.1654689360875556,0.2251403957575831,0.0332495406089037,0.04586439724577779,0.19942091304461013,0.224543146533626,0.2112698227949622,0.23815065565692856,0.008150903092682767,False,False,False,True,1,,False,True
A,9,0,7.0,corner,0.04,1786729415.0203474,0.36025094985961914,0.3771537929826872,0.2771537929826871,0.2327649755174675,-0.0014388139676371,0.010179540350646332,0.2754277086996445,0.20530365836047854,0.2872766184499966,0.2189111674837811,0.011088977552089551,False,False,False,False,1,,False,True
A,9,0,8.0,corner,0.04,1786729415.8260994,0.095001220703125,0.47829120227792277,0.3134365223501918,0.158375464388744,0.0001516564780304,-0.011624535611255926,0.3174306794774433,0.156311319038979,0.3292795892277954,0.16991882816228154,0.022613068248754767,False,False,False,True,1,,False,True
A,9,0,9.0,corner,0.04,1786729415.9562256,0.2902512550354004,0.49182961907029943,0.313205298013245,0.1448370475963674,0.0292221125450739,0.040837047596367415,0.3203852688110469,0.12983474525339742,0.332234178561399,0.1434422543767,0.013449209965239897,False,False,False,False,1,,False,True
A,9,1,12.0,corner,0.04,1786729418.4184835,0.445375919342041,0.0,0.0,0.13,0.0057759811916448,0.018000000000000002,0.006711961653743841,0.12965730195701042,0.018560871404095916,0.14326481108031297,0.01327666335071904,False,False,False,True,1,,False,True
A,9,1,13.0,corner,0.04,1786729418.9139855,0.06500005722045898,0.099358578190237,0.099358578190237,0.1309093543046357,-0.0018256490470266,0.012641421809763007,0.10015835116199173,0.12715168001049496,0.11200726091234381,0.14075918913379754,0.010759191583835419,False,False,False,False,1,,False,True
A,9,1,14.0,corner,0.04,1786729419.3192415,0.3953709602355957,0.148251655629139,0.148251655629139,0.1309093543046357,0.0050816777671082,0.013081677704194355,0.15186957598711942,0.12372271581794705,0.1637184857374715,0.13733022494124963,0.010406728068249906,False,False,False,True,1,,False,True
A,9,1,15.0,corner,0.04,1786729419.7597387,0.5455007553100586,0.17041098946291505,0.148251655629139,0.1470776561295817,0.0383314715930913,0.048922343870418356,0.16386415848602423,0.18308403991140565,0.1757130682363763,0.1966915490347082,0.022390417021526977,False,False,False,True,1,,False,True
A,9,1,16.0,corner,0.04,1786729420.3352394,0.34539008140563965,0.23636823488889475,0.1540164160095688,0.2130349015555614,-0.0032499000478434,0.04896509844443869,0.17298300217843338,0.2142174982006539,0.18483191192878545,0.22782500732395644,0.0022320431370791154,False,False,False,True,1,,False,True
A,9,1,17.0,corner,0.04,1786729420.7206216,0.3052561283111572,0.28339992697891375,0.1833999269789137,0.2260535290928317,0.0212250225350899,0.03993340635441972,0.21204415776853208,0.22093027707526464,0.22389306751888416,0.2345377861985672,0.004572177374335003,False,False,False,True,1,,False,True
A,9,1,18.0,corner,0.04,1786729421.0809925,0.22512602806091309,0.3592963834077564,0.2592963834077563,0.2348198702634591,0.0099556509657661,0.028036949925577148,0.2748464297782431,0.21370987575013228,0.28669533952859516,0.22731738487343484,0.0027574372181721042,False,False,False,True,1,,False,True
A,9,1,19.0,corner,0.04,1786729421.3361185,0.04512524604797363,0.3994406618824291,0.299440661882429,0.2286779128609402,0.0268134235062548,0.013226004784237688,0.2901458834077777,0.2102500909037153,0.30199479315812977,0.22385760002701788,0.004674043199637168,False,False,False,False,1,,False,True
A,9,2,21.0,corner,0.04,1786729422.0117457,0.3053758144378662,0.49355781676780536,0.3077246673307657,0.1431088498988614,0.0217653652867412,0.03510884989886148,0.31761481555588994,0.1288307800938589,0.329463725306242,0.14243828921716145,0.012463801230951829,False,False,False,False,1,,False,True
A,26,3,39.0,gentle_sinusoidal,0.01,1786729435.9146664,0.5856270790100098,0.0,0.0,0.13,0.0339184039599023,0.04831123912813795,0.033637084449532464,0.13107967051979966,0.04548599419988454,0.14468717964310224,0.0006646220966785257,False,False,False,True,1,,False,True
A,26,3,40.0,gentle_sinusoidal,0.01,1786729436.535293,0.7707533836364746,0.03134135949149075,0.0301791615985071,0.1381052926232253,0.0324694286145909,0.047125269878617496,0.06666342090333263,0.1426352273459962,0.07851233065368471,0.15624273646929876,0.013356339114363415,False,False,False,True,1,,False,True
A,26,3,41.0,gentle_sinusoidal,0.01,1786729437.3310463,1.2311291694641113,0.0621531010074739,0.0597771097292511,0.142962334437086,0.0314627671022932,0.0521299565202393,0.10579034351034786,0.1391209719765269,0.11763925326069993,0.15272848109982945,0.02205148555874312,False,False,False,True,1,,False,True
A,26,3,42.0,gentle_sinusoidal,0.01,1786729438.6021757,0.6156280040740967,0.10490842345162417,0.1014358266158497,0.1358934277516778,0.0288581502313564,0.030922936865215453,0.122453888323629,0.12401069371334902,0.13430279807398107,0.1376182028366516,0.014258922346989444,False,False,False,True,1,,False,True
A,26,3,43.0,gentle_sinusoidal,0.01,1786729439.2578034,2.187006950378418,0.132068709610098,0.1271747708497469,0.1271446955887157,0.0171913406216523,0.06303193132502036,0.17874711515586392,0.08934386783341344,0.190596024906216,0.10295137695671601,0.013623000416260288,False,False,False,True,1,,False,True
A,26,3,44.0,gentle_sinusoidal,0.01,1786729441.4849355,0.34525203704833984,0.19410092931618833,0.1870776190045274,0.115757036423841,0.0278879423313804,0.03018923477686103,0.21141940232344658,0.09477431941526773,0.22326831207379866,0.1083818285385703,0.017591894054160808,False,False,False,True,1,,False,True
A,26,3,45.0,gentle_sinusoidal,0.01,1786729442.0604374,0.7556281089782715,0.20368925697050008,0.1960455969809547,0.1194960436826674,0.00126568766172,0.016334370571545687,0.19523196074073157,0.12235920187752419,0.20708087049108365,0.13596671100082675,0.013945357836589175,True,False,False,False,1,,False,False
A,26,3,47.0,gentle_sinusoidal,0.01,1786729443.0964415,0.36025094985961914,0.2327442202692512,0.2239179570473631,0.1273703577096148,0.007205598343956,0.02596876243351967,0.23439493653915022,0.12635884028791294,0.2462438462895023,0.1399663494112155,0.0033767073276164965,False,False,False,True,1,,False,True
A,26,4,48.0,gentle_sinusoidal,0.01,1786729444.1874485,1.0008749961853027,0.23827028166806039,0.2290054905221673,0.1295311161980012,0.0023086133354143,0.037193217639441306,0.25176276279787224,0.13073200089684606,0.2636116725482243,0.1443395100201486,0.0023580081899048865,False,False,False,True,1,,False,True
A,26,4,49.0,gentle_sinusoidal,0.01,1786729445.2283275,0.5354979038238525,0.286374326920331,0.2745346926582827,0.1453434951156538,0.0156171045736994,0.027397241755609703,0.2907824952348611,0.1358580722266842,0.3026314049852132,0.14946558134998678,0.0056623844712498,False,False,False,True,1,,False,True
A,26,4,50.0,gentle_sinusoidal,0.01,1786729445.8039503,0.970879316329956,0.31150340413435795,0.299864837957806,0.145028559602649,0.0176242371058674,0.027142047937987968,0.31991769688428434,0.1367086087234041,0.3317666066346364,0.15031611784670668,0.014107733986819629,False,False,False,False,1,,False,True
A,26,4,51.0,gentle_sinusoidal,0.01,1786729446.9099543,1.8266310691833496,0.3465664499352917,0.3338375474093627,0.1357455474873716,0.0018719716972019,0.02863321550395631,0.3526763530093615,0.1223007977531368,0.3645252627597136,0.13590830687643937,0.012716726840666085,True,False,False,True,1,,False,False
A,26,4,52.0,gentle_sinusoidal,0.01,1786729448.7667196,1.4913759231567383,0.38150129227647483,0.365590389089066,0.1209225993377483,0.0134152863166168,0.026869719112677826,0.3826085800499161,0.11744520426963855,0.3944574898002682,0.1310527133929411,0.015634199811760553,False,False,False,True,1,,False,True
A,26,4,53.0,gentle_sinusoidal,0.01,1786729450.3280914,2.3421335220336914,0.41495171528453223,0.3985845960114295,0.115757036423841,0.0047551694019548,0.04657018951894076,0.4294297475658908,0.1189191776887195,0.4412786573162429,0.13252668681202207,0.00928407047013929,False,False,False,True,1,,False,True
A,26,4,54.0,gentle_sinusoidal,0.01,1786729452.7303495,0.18012595176696777,0.4764891686385468,0.4581854304635762,0.1284987582781457,8.61953187420994e-05,8.619487431715811e-05,0.45360111762282956,0.1360765237450575,0.46545002737318164,0.14968403286836007,0.021814741182579214,False,False,False,False,1,,False,True
A,26,5,75.0,gentle_sinusoidal,0.01,1786729467.714285,0.5504968166351318,0.0,0.0,0.13,0.0256044544431041,0.04019708560073939,0.025282485626980274,0.1366655288080911,0.03713139537733235,0.15027303793139368,0.007402626511082089,False,False,False,True,1,,False,True
A,26,5,76.0,gentle_sinusoidal,0.01,1786729468.3047764,0.5255060195922852,0.03781699834320882,0.0358488489818964,0.1416766569495214,0.03412991549068,0.040649631026899426,0.06888755063744735,0.14798027446247325,0.08073646038779943,0.1615877835857758,0.01906083530989517,False,False,False,True,1,,False,True
A,26,5,77.0,gentle_sinusoidal,0.01,1786729468.8702784,0.2402510643005371,0.06470921289942812,0.0622268733116974,0.1426179635761589,0.0350360085285017,0.04311254808246995,0.10051036754368742,0.14286602403984364,0.1123592772940395,0.15647353316314622,0.023565980232222287,False,False,False,True,1,,False,True
A,26,5,78.0,gentle_sinusoidal,0.01,1786729469.1405294,0.23025107383728027,0.0842738603603626,0.0819792557835713,0.1431307216909678,0.0041681181052707,0.015003286589574866,0.08896176009582664,0.1400920584557442,0.10081066984617872,0.1536995675790468,0.016955554276496285,False,False,False,True,1,,False,True
A,26,5,79.0,gentle_sinusoidal,0.01,1786729469.4057806,0.48050498962402344,0.09529979456482653,0.092778799885165,0.1403318735482121,0.0219449084718738,0.03194267556310966,0.12002495055379671,0.1386901203761645,0.13187386030414877,0.15229762949946707,0.027017488856241036,False,True,False,True,1,,False,False
A,26,5,80.0,gentle_sinusoidal,0.01,1786729469.9212823,1.196129322052002,0.1199607402789182,0.1160690621391549,0.1318797110750278,0.0256907599367231,0.047025999361226645,0.15037726172444527,0.12324645649166165,0.16222617147479734,0.1368539656149642,0.02110561354489289,False,False,False,False,1,,False,True
A,26,5,81.0,gentle_sinusoidal,0.01,1786729471.2925377,0.28024983406066895,0.16271210346565046,0.156021021193669,0.1178232615894039,0.0207478666967357,0.032388537469467904,0.17422540978606682,0.1134522878049648,0.1860743195364189,0.12705979692826735,0.010906407651860822,True,False,False,False,1,,False,False
A,26,5,82.0,gentle_sinusoidal,0.01,1786729471.7229135,0.9860029220581055,0.1777852555655817,0.1707657470376859,0.1154126655629139,0.0082393558111515,0.035893454460539376,0.19069724169009794,0.1161808419156746,0.20254615144045002,0.12978835103897718,0.009577741706607926,True,False,False,True,1,,False,False
A,26,5,83.0,gentle_sinusoidal,0.01,1786729472.7489164,1.1210041046142578,0.21814862484608633,0.2105116050748785,0.121507454248852,0.0249012431392633,0.03843438571766583,0.23336242865920376,0.1238357704009447,0.24521133840955583,0.13744327952424729,0.0013483870984686583,False,False,False,True,1,,False,True
A,26,5,84.0,gentle_sinusoidal,0.01,1786729473.9050455,0.5455169677734375,0.253159090419612,0.2433953772108581,0.1335819855603522,0.0198099427187856,0.03452045383093433,0.26412210747247034,0.13603376788735014,0.2759710172228224,0.14964127701065272,0.005375507399080171,False,False,False,True,1,,False,True
A,26,5,85.0,gentle_sinusoidal,0.01,1786729474.4855545,2.9777541160583496,0.2882089889421429,0.2767488164065411,0.1424039928860656,0.0129937210247908,0.0399236887282739,0.30896601271289637,0.14256955342581168,0.32081492246324844,0.15617706254911423,0.016228982257664327,False,False,False,False,2,,False,True
A,26,5,86.0,gentle_sinusoidal,0.01,1786729476.7876794,0.6756291389465332,0.3133513647320726,0.3014966887417218,0.1433067052980132,0.0125872383229411,0.01896113598468846,0.31210194115210144,0.1409478468284172,0.3239508509024535,0.15455535595171976,0.015597700279454514,False,False,False,False,1,85.0,False,False
A,26,6,90.0,gentle_sinusoidal,0.01,1786729479.6053135,1.56138014793396,0.2854302727234623,0.2736026490066225,0.145028559602649,0.0035114515253417,0.030369440126696234,0.2940561610839877,0.13999260354748458,0.30590507083433977,0.15360011267078716,0.010276432132630851,False,False,False,True,1,,False,True
A,26,6,91.0,gentle_sinusoidal,0.01,1786729481.2018187,0.33025097846984863,0.3195389296852139,0.3076720690691675,0.1427959727989333,0.0167564909940401,0.021232974079762212,0.3206579754693596,0.13485748144434812,0.33250688521971167,0.14846499056765067,0.01258149006544066,False,False,False,True,1,,False,True
A,26,6,92.0,gentle_sinusoidal,0.01,1786729481.6321957,0.7957518100738525,0.33721561005013595,0.3246896071638311,0.1380250319838766,0.0258762734064403,0.03369923921278267,0.3498426093570729,0.12722324689225756,0.361691519107425,0.1408307560155601,0.0162968850266228,False,False,False,True,1,,False,True
A,26,6,93.0,gentle_sinusoidal,0.01,1786729482.4529517,0.7106239795684814,0.3702232916049243,0.3558138096233688,0.1269724581901843,0.0129905593972108,0.03004668926978421,0.3753164605629025,0.11990914193507776,0.3871653703132546,0.13351665105838034,0.01693982888104925,False,False,False,True,1,,False,True
A,26,6,94.0,gentle_sinusoidal,0.01,1786729483.1985755,0.3503761291503906,0.40958274392617716,0.3932452311914898,0.1158679388162955,0.0015746040787162,0.022861365320359484,0.4027981780463589,0.11485832528209027,0.414647087796711,0.12846583440539283,0.01253051771643337,False,False,False,True,1,,False,True
A,26,6,95.0,gentle_sinusoidal,0.01,1786729483.5789514,0.7407522201538086,0.42209295662169116,0.4056947212496961,0.1151673109559738,0.0113978737759805,0.030954058526838413,0.4213694712049375,0.1171713413471836,0.4332183809552896,0.13077885047048615,0.010306281638476987,False,False,False,False,1,,False,True
A,26,7,97.0,gentle_sinusoidal,0.01,1786729485.4807076,0.2352619171142578,0.4741234867592642,0.4558711713480496,0.1279063534672549,0.00245187715431,0.0024518767535997577,0.4643203971429296,0.12996066810927936,0.4761693068932817,0.14356817723258192,0.02317581841362127,False,False,False,False,1,,False,True
A,4,8,99.0,mid_sinusoidal,0.04,1786729487.4376023,0.42537426948547363,0.0005492382261955557,0.0004816996668664,0.1302685281409044,0.0286669077646621,0.04326094539546309,0.027412175686230632,0.1323231290923545,0.03926108543658271,0.14593063821565705,0.005745384606387995,False,False,False,True,1,,False,True
A,4,8,100.0,mid_sinusoidal,0.04,1786729487.9029734,0.38536810874938965,0.051659349204846355,0.0445022713733381,0.1582453298236032,0.0162570190471361,0.03300845062884844,0.06931169148770319,0.14560061679782635,0.08116060123805527,0.15920812592112893,0.008626876466738565,False,False,False,True,1,,False,True
