participant,trial_id,block_id,fixation_id,tunnel_type,width,t_onset,duration_s,s_c,cursor_x,cursor_y,lead_onset,lead_corr,gaze_task_x,gaze_task_y,gaze_x_corr,gaze_y_corr,gaze_path_dist,blink_corrupted,off_path,regressive,saccade_followed,n_merged,merged_into,drift_corrected,keep
C,33,0,22.0,sharp_sinusoidal,0.03,1787091940.5923922,0.6154990196228027,0.0005646322434704136,0.0003392511817073,0.130451404944081,0.0203387433237195,0.04947888833347405,0.026553451827539036,0.15246268193377654,0.04479538728126759,0.15363920808307735,0.01949762652730299,False,False,False,True,1,,False,True
C,33,0,23.0,sharp_sinusoidal,0.03,1787091941.2430162,0.33025026321411133,0.05090064339529589,0.0347221734096491,0.1664642293949852,0.0215105673479196,0.05255489031447297,0.055770926675796785,0.16033336805936474,0.07401286212952535,0.16150989420866552,0.011093028355355255,False,False,False,True,1,,False,True
C,33,0,24.0,sharp_sinusoidal,0.03,1787091941.6082664,0.6456308364868164,0.09492438669530123,0.0731242972996319,0.1759525723386069,0.0176673570868041,0.025142484681087873,0.08338370117080454,0.16667739986164684,0.1016256366245331,0.16785392601094762,0.012818089047928305,False,False,False,True,1,,False,True
C,33,0,25.0,sharp_sinusoidal,0.03,1787091942.2838902,0.24524998664855957,0.1265368560686842,0.1017304684966209,0.1590633498793133,0.0088739726887317,0.025791173138859758,0.11045371492987767,0.1442081111070087,0.12869565038360622,0.1453846372563095,0.020155459857025687,False,False,False,True,1,,False,True
C,33,0,26.0,sharp_sinusoidal,0.03,1787091942.56414,0.34537410736083984,0.147793058339922,0.1115023104481096,0.1393711842796547,0.0222700647142899,0.03131943734288617,0.12910732801473174,0.12543299143054296,0.14734926346846028,0.12660951757984373,0.023880248757528158,False,False,False,True,1,,False,True
C,33,0,27.0,sharp_sinusoidal,0.03,1787091942.9545145,0.31037449836730957,0.17710710374001568,0.1265574736897417,0.1140336057205209,0.0305669407991122,0.046069969541498,0.1469584104169263,0.0912572163779673,0.16520034587065485,0.09243374252726809,0.010871281910685952,False,False,False,True,1,,False,True
C,33,0,28.0,sharp_sinusoidal,0.03,1787091943.289889,0.7807490825653076,0.21908984051069563,0.158078287640894,0.0878077223170033,0.0085774772823214,0.038034167392184515,0.17424803814434456,0.08468506079329946,0.19248997359807313,0.08586158694260025,0.0011737466373382,False,False,False,True,1,,False,True
C,33,0,29.0,sharp_sinusoidal,0.03,1787091944.110638,0.32525014877319336,0.30812081621821796,0.2263173184628047,0.1244105317016653,0.004274643249956,0.01681240219469521,0.23285992642745093,0.12773388435593025,0.2511018618811795,0.12891041050523105,0.017708731002328764,False,False,False,True,1,,False,True
C,33,0,30.0,sharp_sinusoidal,0.03,1787091944.476013,0.8557491302490234,0.33315052306181586,0.241323426609762,0.1444314564110865,0.0247037985361067,0.017492790358071164,0.24553589655443464,0.14826278018024175,0.2637778320081632,0.14943930632954255,0.014722715873814273,False,False,False,True,1,,False,True
C,33,0,31.0,sharp_sinusoidal,0.03,1787091945.3667722,0.36536407470703125,0.3631828935956897,0.2618563833319676,0.1660257680184223,0.0061328884853451,0.05013612485505059,0.28036073375484066,0.1614076819414254,0.2986026692085692,0.1625842080907262,0.013393329863605202,False,False,False,True,1,,False,True
