participant,type_label,trial_id,width_mm,round,t,amp,lead_pre,lead_post,v_pre,catchup_s,min_lead,dist,dphi
p01,corner,6,10.000000,1,0.940874,0.068000,-0.055000,0.013000,0.057857,0.370375,-0.076000,,
p01,corner,6,10.000000,1,1.341249,0.028000,-0.073000,-0.045000,0.131492,0.360375,-0.068000,,
p01,corner,6,10.000000,1,1.711624,0.044000,-0.065000,-0.021000,0.047338,0.240250,-0.021000,,
p01,corner,6,10.000000,1,1.971874,0.012000,-0.014000,-0.002000,0.000000,0.840749,-0.048000,,
p01,corner,6,10.000000,1,2.822623,0.027000,-0.048000,-0.021000,0.073638,0.460495,-0.031000,,
p01,corner,6,10.000000,1,3.303123,0.030000,-0.031000,-0.001000,0.015769,0.730625,-0.030000,,
p01,corner,6,10.000000,1,4.063748,0.015000,-0.025000,-0.010000,-0.015779,0.971000,-0.078000,,
p01,corner,6,10.000000,1,5.044748,0.055000,-0.078000,-0.023000,0.094618,0.330253,-0.060000,,
p01,corner,6,10.000000,1,5.405001,0.055000,-0.058000,-0.003000,0.031558,0.350259,-0.024000,,
p01,corner,6,10.000000,1,5.785381,0.028000,-0.020000,0.008000,0.042076,0.920875,-0.056000,,
p01,corner,6,10.000000,1,6.726247,0.060000,-0.056000,0.004000,0.084155,0.240246,-0.007000,,
p01,corner,6,10.000000,1,6.996497,0.032000,-0.001000,0.031000,0.021039,0.060126,0.001000,,
p01,corner,6,10.000000,1,7.066622,0.031000,0.001000,0.032000,,0.120124,-0.004000,,
p01,corner,6,10.000000,1,7.196746,0.018000,-0.004000,0.014000,0.299690,0.850749,-0.088000,,
p01,corner,6,10.000000,1,8.057496,0.033000,-0.086000,-0.053000,0.105194,0.190260,-0.078000,,
p01,corner,6,10.000000,1,8.267756,0.077000,-0.077000,0.000000,0.126143,,,,
p01,corner,6,10.000000,2,0.290250,0.027000,-0.029000,-0.002000,0.142021,0.450500,-0.071000,,
p01,corner,6,10.000000,2,0.750750,0.039000,-0.067000,-0.028000,0.210251,0.400386,-0.048000,,
p01,corner,6,10.000000,2,1.171136,0.050000,-0.044000,0.006000,0.026280,1.471375,-0.045000,,
p01,corner,6,10.000000,2,2.672499,0.019000,-0.041000,-0.022000,0.036794,0.390375,-0.037000,,
p01,corner,6,10.000000,2,3.072874,0.034000,-0.036000,-0.002000,0.031537,0.540500,-0.010000,,
p01,corner,6,10.000000,2,3.633374,0.026000,-0.008000,0.018000,0.005260,1.231124,-0.020000,,
p01,corner,6,10.000000,2,4.874498,0.009000,-0.017000,-0.008000,0.036818,0.060125,-0.010000,,
p01,corner,6,10.000000,2,4.944623,0.008000,-0.010000,-0.002000,,0.010000,-0.013000,,
p01,corner,6,10.000000,2,4.964623,0.009000,-0.013000,-0.004000,,0.010000,-0.012000,,
p01,corner,6,10.000000,2,4.984623,0.009000,-0.012000,-0.003000,,0.540499,-0.022000,,
