participant,type_label,trial_id,width_mm,dur_s,dist_m,dphi_rad,lead_post,inv_speed,kappa_density
p01,corner,6,10.0,0.370375,0.048,0.0,0.013,7.716139,0.0
p01,corner,6,10.0,0.360375,0.036,0.0,-0.045,10.010415,0.0
p01,corner,6,10.0,0.840749,0.051,1.570796,-0.002,16.485275,30.799928
p01,corner,6,10.0,0.460495,0.016,0.0,-0.021,28.780922,0.0
p01,corner,6,10.0,0.730625,0.031,0.0,-0.001,23.568546,0.0
p01,corner,6,10.0,0.971,0.075,1.570796,-0.01,12.946666,20.943951
p01,corner,6,10.0,0.330253,0.047,0.0,-0.023,7.026657,0.0
p01,corner,6,10.0,0.350259,0.027,0.0,-0.003,12.972567,0.0
p01,corner,6,10.0,0.920875,0.071,1.570796,0.008,12.970071,22.123892
p01,corner,6,10.0,0.240246,0.016,0.0,0.004,15.015379,0.0
p01,corner,6,10.0,0.060126,0.005,0.0,0.031,12.025166,0.0
p01,corner,6,10.0,0.120124,0.003,0.0,0.032,40.041288,0.0
p01,corner,6,10.0,0.850749,0.124,1.570796,0.014,6.860879,12.667712
p01,corner,6,10.0,0.19026,0.031,0.0,-0.053,6.137425,0.0
p01,corner,6,10.0,0.4405,0.071,0.0,0.003,6.204226,0.0
p01,corner,6,10.0,0.400386,0.031,0.0,-0.028,12.91568,0.0
p01,corner,6,10.0,1.111,0.061,1.570796,0.006,18.213116,25.750759
p01,corner,6,10.0,0.340375,0.02,0.0,-0.033,17.018747,0.0
p01,corner,6,10.0,0.390375,0.02,0.0,-0.022,19.518757,0.0
p01,corner,6,10.0,0.5405,0.009,0.0,-0.002,60.055547,0.0
p01,corner,6,10.0,1.231124,0.044,1.570796,0.018,27.980095,35.699917
p01,corner,6,10.0,0.060125,0.008,0.0,-0.008,7.515609,0.0
p01,corner,6,10.0,0.540499,0.043,0.0,-0.003,12.569744,0.0
p01,corner,6,10.0,0.61062,0.056,0.0,-0.012,10.903929,0.0
p01,corner,6,10.0,1.6015,0.07,1.570796,0.0,22.878572,22.439948
p01,corner,6,10.0,0.360374,0.016,0.0,0.047,22.523373,0.0
p01,corner,6,10.0,0.280257,0.008,0.0,0.025,35.032153,0.0
p01,corner,6,10.0,0.060125,0.007,1.570796,0.017,8.589302,224.399475
p01,corner,6,10.0,0.420375,0.046,0.0,0.009,9.138589,0.0
p01,corner,6,10.0,0.340256,0.055,0.0,-0.017,6.186472,0.0
